ID,fk_site,fk_batch,TypeOfContent,SiteName,SourceURL,Inheritance,UserGroup,Principaltype,Accountname,ContentPermissions
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Edit;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Excel Services Viewers,Excel Services Viewers,View Only;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Business Unit Access,Business Unit Access,Business Unit Access;Read;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Team Member;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,eViewer Contributor,eViewer Contributor,eViewer Contributor;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Team Member Restricted;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Scan To Library Contributor,Scan To Library Contributor,Contribute;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Tax Engagement Owner;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,Tax Quality,Tax Quality,Tax Quality;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,TDM US Test Client02 - WT-SUT 042720_Library,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/EngagementDocumentLibrary,Custom,SharePoint Group,QIP Contribute,QIP Contribute,QIP Contribute Permission;Contribute;
