ID,fk_site,fk_batch,TypeOfContent,SiteName,SourceURL,Inheritance,UserGroup,Principaltype,Accountname,ContentPermissions
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Engagement Home Owners,Engagement Home Owners,Full Control;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Engagement Home Visitors,Engagement Home Visitors,Read;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Edit;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Excel Services Viewers,Excel Services Viewers,View Only;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Business Unit Access,Business Unit Access,Business Unit Access;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Team Member;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,eViewer Contributor,eViewer Contributor,eViewer Contributor;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Team Member Restricted;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Scan To Library Contributor,Scan To Library Contributor,Contribute;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Tax Engagement Owner;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,Tax Quality,Tax Quality,Tax Quality;
0,0,0,Site,TDM US Test Client02 - STEST-APR18-DENMARK-REL3.5-1,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,Approval Steps,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Engagement Home Visitors,Engagement Home Visitors,Read;
0,0,0,List/Library,Approval Steps,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Read;
0,0,0,List/Library,Approval Steps,https://eyonespace.ey.com/Sites/536a5ebeec1044b0b8accf5c44547c41/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
